,ts_code,name,market,publisher,category,base_date,base_point,list_date
0,000001.SH,上证指数,SSE,中证公司,综合指数,19901219,100.0,19910715
1,000002.SH,上证A指,SSE,中证公司,综合指数,19901219,100.0,19920221
2,000003.SH,上证B指,SSE,中证公司,综合指数,19920221,100.0,19920221
3,000004.SH,上证工业类指数,SSE,中证公司,综合指数,19930430,1358.78,19930503
4,000005.SH,上证商业类指数,SSE,中证公司,综合指数,19930430,1358.78,19930503
5,000006.SH,上证房地产指数,SSE,中证公司,综合指数,19930430,1358.78,19930503
6,000007.SH,上证公用事业股指数,SSE,中证公司,综合指数,19930430,1358.78,19930503
7,000008.SH,上证综合股指数,SSE,中证公司,综合指数,19930430,1358.78,19930503
8,000009.SH,上证380,SSE,中证公司,规模指数,20031231,1000.0,20101129
9,000010.SH,上证180,SSE,中证公司,规模指数,20020628,3299.06,20020701
10,000011.SH,上证基金指数,SSE,上交所,其他,20000508,1000.0,20000609
11,000012.SH,上证国债,SSE,上交所,债券指数,20021231,100.0,20030102
12,000013.SH,上证企债,SSE,上交所,债券指数,20021231,100.0,20030609
13,000015.SH,上证红利,SSE,中证公司,主题指数,20041231,1000.0,20050104
14,000016.SH,上证50,SSE,中证公司,规模指数,20031231,1000.0,20040102
15,000017.SH,新综指,SSE,中证公司,综合指数,20051230,1000.0,20060104
16,000018.SH,180金融,SSE,中证公司,行业指数,20020628,1000.0,20071210
17,000019.SH,治理指数,SSE,中证公司,主题指数,20070629,1000.0,20080102
18,000020.SH,中型综指,SSE,中证公司,综合指数,20071228,1000.0,20080512
19,000021.SH,180治理,SSE,中证公司,主题指数,20070629,1000.0,20080910
20,000022.SH,上证公司债,SSE,上交所,债券指数,20071231,100.0,20081119
21,000023.SH,沪分离债,SSE,上交所,债券指数,20071231,100.0,20081119
22,000025.SH,180基建,SSE,中证公司,主题指数,20020628,1000.0,20081215
23,000026.SH,180资源,SSE,中证公司,主题指数,20020628,1000.0,20081215
24,000027.SH,180运输,SSE,中证公司,主题指数,20020628,1000.0,20081215
25,000028.SH,180成长,SSE,中证公司,成长指数,20020628,1000.0,20090109
26,000029.SH,180价值,SSE,中证公司,价值指数,20020628,1000.0,20090109
27,000030.SH,180R成长,SSE,中证公司,成长指数,20020628,1000.0,20090109
28,000031.SH,180R价值,SSE,中证公司,价值指数,20020628,1000.0,20090109
